id,title,genre,plot
23457,Predator X (2009),History,"Deep in the Polar Arctic, the discovery has been made of a completely new species - a giant sea monster with the head of a T-Rex, a fifty-foot-long body the shape of a giant whale and huge flippers - making it the largest and fastest prehistoric sea creature ever to terrorize the oceans. Up until now the very existence of this creature during the Jurassic period has been completely unknown to science."
47436,Code Zero (????),Sci-Fi,A highly elite team of killers break open the world's most secure facility and steal its most dangerous weapons. Within days there are outbreaks of mass slaughter and murderous insanity across America. Joe Ledger must stop a brilliant and devious master criminal from turning the Land of the Free into a land of the dead.
28271,The Silent Gun (1969),Western,"A sheriff with a reputation as a fast gun almost kills an innocent child. He makes up his mind that he is not going to carry around loaded weapons anymore, but, since he's the sheriff of a lawless town, he compromises by carrying an unloaded pistol and relying on his reputation to keep order."
21619,Left at the Rio Grande (2005),Short,"Sheriff ""Emmy"" Ellis is as dusty and desolate as the Mexican/American border she patrols -- until she recognizes a miracle -- 3 illegal women suddenly become 3 illegal mothers through a divine intervention. The chaos creates a bond between Emmy and the newborns as she realizes the mystery -- the spirits of those who died, while attempting to cross the glorious Rio Grande, are returning through women who come in contact with its waters; and with menopause on her heels, Emmy decides to create a family of her own."
15369,The Alster Case (1915),Mystery,"Miss Cornelia Alster, a wealthy spinster, secretly makes George Swan, a poor lawyer's clerk, executor of her estate. That night, she goes to a theatre and returns home unexpectedly, discovers her two wards, Beatrice and Linda, in what she thinks is an affair with two men. As a matter of fact, Linda is fighting Keith, the butler, who is using some knowledge of her to force her to give him money. Beatrice is entertaining her sweetheart, Allen Longstreet, a young inventor. Miss Alster waits in her room, determined to see who the men are. The next day she is found murdered. Trask, a noted detective, is put on the trail. He runs down five clues, the last leading to the criminal. It is a baffling story and an unexpected denouement. The criminal is in the cast. Which one do you think committed the crime?"
43706,Lethal Orbit (1996),Sci-Fi,"A group of recently trained astronauts are sent into space to probe a new experiment, only to be stranded and face an eternity in space unless successful contact can be established from earth. In between flashes of the story, a court is in process determining the cause of the accident."
7240,TV's Most Unforgettable Finales (2011),Documentary,"TV Guide Network takes a look back at the best finales of all time. From the cut-to-black ending of The Sopranos to the vaguely spiritual final act of Lost, Jason Alexander counts down the most unforgettable finales. The special also features interviews with stars of these talked-about finales, including Will & Grace's Megan Mullally, Dallas' Patrick Duffy and Larry Hagman, Magnum P.I.'s Larry Manetti, M*A*S*H's Mike Farrell, and The Shield's Walton Goggins."
196,Age-Old Friends (1989),Comedy,"John Cooper is in a retirement home. There are strict rules for the residents, but he refuses to fall into passivity. He flirts constantly with Nurse Wilson and spends time with his best buddy Michael Aylott, who's slowly drifting into senility. The movie portrays the fight for independence and dignity in old age. The resident of a nursing home, John Cooper is frustrated by his strictly ordered surroundings. Even though his body is in decline, John remains mentally keen, while his close friend, Michael Aylott, has the opposite issues -- he is in fairly good health, but becoming progressively more senile. As John and Michael attempt to keep some level of independence and contend with their own ailments, they try their best to support each other."
26077,De l'autre côté (2007),Thriller,"After narrowly avoiding death in a tragic accident, a young writer and musician from France named Hugo Durain, finding himself robbed of his ability to perform. He subsequently decides to take his life into his own hands. He moves to Quebec to become a filmmaker. While working nights as a school janitor, bizarre and unexplainable events begin to take place, leading him to a terrifying story hidden within the school walls. This is when everything changes and Hugo finds himself immersed in an ambiance of suspicion, intrigue, and fear. It is on the other side that the secret will be revealed."
1936,"""Svenska slag"" (2007)",History,"A documentary series about the battles of the Scanian war fought by Sweden in Germany and southern Sweden 1674-1679. Per Dahlberg interviews historical experts and go visit the sites of the battle fields, where re-enactments of parts of the battles and firing experiments are carried out."
35037,"""Welcome Back Potter"" (2016)",Reality-Tv,"Actress Monica Potter has returned to Cleveland, Ohio to buy and restore her childhood home, which has remained unchanged for three decades. Together with her feisty mother and three outspoken sisters, she's leading a massive renovation of the lake house, bringing back its original glory along with contemporary touches. From the furniture and mementos of her youth, to some hidden history, Monica uncovers more than she ever expected coming home."
17593,"""Legend of the Last Emperor"" (2014)",History,"This drama tells the story of China's last emperor, Puyi, his three ascensions to the throne, four marriages, five wives and five exiles. His fate was closely intertwined with the rise of China, which is ever the epitome of the replacements of two Chinese dynasties."
46959,A Tchaikovsky Cycle (1991),Music,"An exceptional six concert series of works by Pytor Tchaikovsky. Recorded at the Alter Oper Frankfurt, Germany under the baton of leading Russian conductor Vladimir Fedoseyev with The Moscow Radio Symphony Orchestra and guest international soloists."
54115,"""El hombre de la luna"" (1996)",Crime,"Murder, Mysticism and Mystery The tale has all the ingredients of a classic suspense and more... A beautiful girl is found in the Valley of the Moon with her throat slashed, a homeless derelict is laying, passed out, besides her body. He'a accused of her murder. Case closed. Or is it? An expatriate lawyer is called on tho defend the accused and the cast of characters he encounters are a bizarre lot: a Ch'makani, or man of the dark, who can communicate with the dead' the dead girl's beautiful twin sister, an American exchange student, exiled by his parents to Bolivia for computer hacking, the lawyer's ex wife, and a mystery woman. They all combine for a steamy, exciting and suspense packed story"
